WTSIi082-A	SAMEA2498700###HPSI1013i-cups_3	SAMEA2498700
WTSIi083-A	SAMEA2494988###HPSI1213i-xuja_2	SAMEA2494988
WTSIi084-A	SAMEA2398485###HPSI0713i-cicb_3	SAMEA2398485
WTSIi084-B	SAMEA2398319###HPSI0713i-cicb_2	SAMEA2398319
WTSIi085-A	SAMEA2474456###HPSI1113i-eofe_1	SAMEA2474456
WTSIi086-A	SAMEA2397914###HPSI0913i-coyi_3	SAMEA2397914
WTSIi087-A	SAMEA2398377###HPSI0813i-uaqe_1	SAMEA2398377
WTSIi088-A	SAMEA2518336###HPSI0913i-ruql_3	SAMEA2518336
WTSIi091-A	SAMEA2398313###HPSI0813i-ffdc_11	SAMEA2398313
WTSIi092-A	SAMEA2398231###HPSI0713i-nemb_1	SAMEA2398231
WTSIi093-A	SAMEA2398007###HPSI0413i-sukz_1	SAMEA2398007
WTSIi094-A	SAMEA2469776###HPSI0613i-xucm_3	SAMEA2469776
WTSIi096-A	SAMEA2697659###HPSI0813i-guss_1	SAMEA2697659
WTSIi097-A	SAMEA2420639###HPSI0813i-aizi_3	SAMEA2420639
WTSIi097-B	SAMEA2420642###HPSI0813i-aizi_1	SAMEA2420642
WTSIi098-A	SAMEA2445783###HPSI1213i-nekd_1	SAMEA2445783
WTSIi099-A	SAMEA2397802###HPSI0813i-civh_1	SAMEA2397802
WTSIi100-A	SAMEA2625596###HPSI0813i-zexw_3	SAMEA2625596
WTSIi101-A	SAMEA2398812###HPSI0513i-fejf_2	SAMEA2398812
WTSIi102-A	SAMEA2397889###HPSI0413i-iakz_2	SAMEA2397889
WTSIi102-B	SAMEA2398858###HPSI0413i-iakz_1	SAMEA2398858
WTSIi103-A	SAMEA2464779###HPSI1213i-nusw_2	SAMEA2464779
WTSIi104-A	SAMEA2398916###HPSI0513i-coio_2	SAMEA2398916
WTSIi104-B	SAMEA2398024###HPSI0513i-coio_1	SAMEA2398024
WTSIi105-A	SAMEA2398371###HPSI0313i-airc_2	SAMEA2398371
WTSIi105-B	SAMEA2399089###HPSI0313i-airc_66	SAMEA2399089
WTSIi106-A	SAMEA2398233###HPSI0613i-hikj_2	SAMEA2398233
WTSIi106-B	SAMEA2398534###HPSI0613i-hikj_1	SAMEA2398534
WTSIi107-A	SAMEA2398643###HPSI0813i-iill_1	SAMEA2398643
WTSIi107-B	SAMEA2399058###HPSI0813i-iill_3	SAMEA2399058
WTSIi108-A	SAMEA2398465###HPSI0313i-cesj_1	SAMEA2398465
WTSIi109-A	SAMEA2399264###HPSI0413i-coxy_3	SAMEA2399264
WTSIi109-B	SAMEA2398219###HPSI0413i-coxy_33	SAMEA2398219
WTSIi110-A	SAMEA2397999###HPSI0713i-darw_1	SAMEA2397999
WTSIi111-A	SAMEA2398167###HPSI0513i-euir_1	SAMEA2398167
WTSIi112-A	SAMEA2398046###HPSI0613i-funp_3	SAMEA2398046
WTSIi113-A	SAMEA2398496###HPSI0913i-gedo_3	SAMEA2398496
WTSIi113-B	SAMEA2398982###HPSI0913i-gedo_33	SAMEA2398982
WTSIi114-A	SAMEA2398240###HPSI0513i-golb_1	SAMEA2398240
WTSIi115-A	SAMEA2397877###HPSI0513i-iasn_3	SAMEA2397877
WTSIi116-A	SAMEA2398866###HPSI0813i-iicq_1	SAMEA2398866
