HG02836		SAME1839428
HG02968		SAME1840108
HG02970		SAME1840260
HG02975		SAME1840232
HG02855		SAME1839330
HG02862		SAME1839123
HG02944		SAME1839082
HG03202		SAME1839602
HG03238		SAME1839289
HG03240		SAME1839050
HG03048		SAME1839647
HG03050		SAME1839482
HG03055		SAME1839514
HG03062		SAME1839220
HG03074		SAME1839029
HG03079		SAME1839051
HG03081		SAME1840310
HG03086		SAME1840331
HG03098		SAME1840136
HG03101		SAME1840008
HG03163		SAME1839118
HG03168		SAME1839143
HG03170		SAME1840383
HG03113		SAME1839901
HG03118		SAME1839830
HG03120		SAME1839557
HG03125		SAME1839675
HG03132		SAME1839373
HG03137		SAME1839390
HG03175		SAME1840407
HG03194		SAME1839914
HG03199		SAME1839937
HG03024		SAME1839799
HG03029		SAME1839733
HG03478		SAME1839618
HG03480		SAME1839381
HG03485		SAME1839469
HG03492		SAME1839196
HG03459		SAME1839793
HG03461		SAME1839808
HG03466		SAME1839839
HG03473		SAME1839687
HG03269		SAME1840100
HG03271		SAME1840195
HG03295		SAME1839881
HG03391		SAME1839636
HG03411		SAME1839186
HG03428		SAME1840409
HG03303		SAME1839485
HG03308		SAME1839515
HG03310		SAME1839202
HG03372		SAME1839716
HG03384		SAME1839587
HG03442		SAME1839979
HG03454		SAME1839764
HG03517		SAME1840163
HG03339		SAME1840332
HG03341		SAME1840347
HG03365		SAME1840058
HG03644		SAME1839638
HG03649		SAME1839396
HG03651		SAME1839498
HG03656		SAME1839435
HG03663		SAME1839317
HG03707		SAME1839761
HG03714		SAME1839809
HG03719		SAME1839843
HG03721		SAME1839659
HG03598		SAME1839194
HG03606		SAME1840248
HG03618		SAME1840062
HG03574		SAME1839229
HG03579		SAME1839247
HG03593		SAME1839171
HG03694		SAME1840375
HG03699		SAME1840153
HG03702		SAME1840029
HG03668		SAME1839338
HG03682		SAME1840323
HG03687		SAME1840337
HG03620		SAME1839790
HG03625		SAME1839719
HG03733		SAME1839382
HG03738		SAME1839473
HG03740		SAME1839248
HG03745		SAME1839195
HG03548		SAME1839883
HG03567		SAME1839364
HG03788		SAME1840227
HG03790		SAME1839989
HG03795		SAME1839925
HG03769		SAME1839154
HG03771		SAME1840393
HG03783		SAME1840124
HG03896		SAME1839898
HG03904		SAME1839501
HG03909		SAME1839438
HG03911		SAME1839212
HG03916		SAME1839316
HG03803		SAME1839527
HG03808		SAME1839552
HG03815		SAME1839419
HG03872		SAME1840202
HG03884		SAME1840005
HG03846		SAME1839172
HG03858		SAME1840301
HG03752		SAME1839314
HG03757		SAME1839089
HG03822		SAME1839450
