HPSI0115i-zagk_4	zagk_4	SAMEA104011219
HPSI0613i-liun_61	liun_61	SAMEA2629761
HPSI0214i-kucg_1	kucg_1	SAMEA2645806
HPSI0213i-koun_7	koun_7	SAMEA2398278
HPSI0613i-uait_4	uait_4	SAMEA2399031
HPSI0314i-qonc_3	qonc_3	SAMEA2707504
HPSI0314i-qaqx_2	qaqx_2	SAMEA2658087
HPSI1114i-ziyn_1	ziyn_1	SAMEA3311869
HPSI0414i-xojn_5	xojn_5	SAMEA3854065
HPSI0514i-puie_6	puie_6	SAMEA3962564
HPSI1014i-tixi_1	tixi_1	SAMEA3854246
HPSI0614i-miaj_2	miaj_2	SAMEA3854312
HPSI0214i-datg_3	datg_3	SAMEA2632915
HPSI0713i-veku_3	veku_3	SAMEA2482138
HPSI0414i-puvg_2	puvg_2	SAMEA2769877
HPSI1014i-juuy_1	juuy_1	SAMEA3853132
HPSI0414i-reng_3	reng_3	SAMEA3358977
HPSI0614i-jaqg_4	jaqg_4	SAMEA3848343
HPSI0614i-puhk_3	puhk_3	SAMEA3973846
HPSI1014i-qayj_2	qayj_2	SAMEA3963887
HPSI0514i-rutc_1	rutc_1	SAMEA3974013
HPSI0514i-rutc_6	rutc_6	SAMEA3974219
HPSI0914i-qehq_1	qehq_1	SAMEA3966394
HPSI0414i-gesg_1	gesg_1	SAMEA3854129
HPSI0914i-qehq_6	qehq_6	SAMEA3968756
HPSI0914i-oejg_3	oejg_3	SAMEA3964252
HPSI1014i-suok_2	suok_2	SAMEA3355539
HPSI0714i-wipe_2	wipe_2	SAMEA3316299
HPSI0614i-liqa_4	liqa_4	SAMEA3974238
HPSI0614i-ciwj_3	ciwj_3	SAMEA3484000
HPSI0714i-pipw_1	pipw_1	SAMEA3964243
HPSI0115i-qoog_2	qoog_2	SAMEA4090532
HPSI0215i-yoch_3	yoch_3	SAMEA3753816
HPSI0714i-keui_6	keui_6	SAMEA3962379
HPSI0115i-hecn_5	hecn_5	SAMEA3853177
HPSI0614i-lepk_5	lepk_5	SAMEA3964254
HPSI1014i-sehl_3	sehl_3	SAMEA3973983
HPSI0514i-uenn_1	uenn_1	SAMEA4339636
HPSI0614i-mesr_3	mesr_3	SAMEA4091957
HPSI0914i-ouvb_3	ouvb_3	SAMEA3968784
HPSI0414i-sebn_1	sebn_1	SAMEA3962523
HPSI0314i-bipt_2	bipt_2	SAMEA2719620
HPSI0514i-uemk_5	uemk_5	SAMEA4091779
HPSI0714i-vowl_2	vowl_2	SAMEA4339494
HPSI0714i-vowl_7	vowl_7	SAMEA4339630
HPSI0714i-tacz_6	tacz_6	SAMEA3854245
HPSI0913i-laia_5	laia_5	SAMEA3356001
HPSI0514i-fiaj_4	fiaj_4	SAMEA3480761
HPSI0215i-douz_3	douz_3	SAMEA3847032
HPSI0215i-natr_1	natr_1	SAMEA3735548
HPSI1014i-golt_4	golt_4	SAMEA3485960
HPSI0914i-oini_12	oini_12	SAMEA4340430
HPSI0913i-iuqb_4	iuqb_4	SAMEA2398426
HPSI0713i-nocf_3	nocf_3	SAMEA2398477
HPSI0514i-puie_1	puie_1	SAMEA3854306
HPSI0714i-burb_6	burb_6	SAMEA3753600
HPSI0414i-iukl_5	iukl_5	SAMEA3854061
HPSI0214i-poih_6	poih_6	SAMEA3969684
HPSI0514i-wiii_1	wiii_1	SAMEA3312839
HPSI1014i-babz_4	babz_4	SAMEA3854230
HPSI0814i-bokz_4	bokz_4	SAMEA3317000
HPSI0914i-euts_4	euts_4	SAMEA3755281
HPSI0115i-uolo_4	uolo_4	SAMEA3754568
HPSI0613i-liun_59	liun_59	SAMEA2629776
HPSI0613i-liun_47	liun_47	SAMEA2629750
HPSI0613i-lavp_1	lavp_1	SAMEA2398070
HPSI0513i-bicb_2	bicb_2	SAMEA2398423
HPSI0613i-liun_35	liun_35	SAMEA2629751
HPSI1113i-podx_5	podx_5	SAMEA3754560
HPSI0613i-liun_28	liun_28	SAMEA2629748
HPSI0214i-wibj_7	wibj_7	SAMEA3356667
HPSI0613i-liun_54	liun_54	SAMEA2629775
HPSI0613i-liun_42	liun_42	SAMEA2629779
HPSI0414i-lavd_1	lavd_1	SAMEA2777393
HPSI0413i-yuze_4	yuze_4	SAMEA2398429
HPSI0714i-tacz_1	tacz_1	SAMEA3854192
HPSI0613i-liun_23	liun_23	SAMEA2629767
HPSI0413i-yotv_4	yotv_4	SAMEA2399201
HPSI0613i-liun_30	liun_30	SAMEA2629777
HPSI0114i-rozh_2	rozh_2	SAMEA2547895
HPSI0914i-oini_3	oini_3	SAMEA4339722
HPSI0914i-oini_8	oini_8	SAMEA4340464
HPSI0115i-feok_4	feok_4	SAMEA4564803
HPSI0616i-vaqr_2	vaqr_2	SAMEA103884772
HPSI0616i-fayz_2	fayz_2	SAMEA103887421
HPSI0616i-euia_2	euia_2	SAMEA103884559
HPSI0616i-baxr_3	baxr_3	SAMEA103884197
HPSI0616i-tavt_5	tavt_5	SAMEA103885492
HPSI0816i-daah_2	daah_2	SAMEA103887430
HPSI1014i-xejd_1	xejd_1	SAMEA103992846
HPSI0115i-qecv_1	qecv_1	SAMEA103992843
HPSI0115i-pitg_6	pitg_6	SAMEA103992850
HPSI0115i-womt_1	womt_1	SAMEA103992896
HPSI0714pf-wipe	wipe	SAMEA2661683
HPSI1013pf-zagm	zagm	SAMEA2398857
HPSI0514pf-uenn	uenn	SAMEA2531396
HPSI0215pf-douz	douz	SAMEA3257660
HPSI0516i-kumr_4	kumr_4	SAMEA103884752
HPSI0816i-gezn_5	gezn_5	SAMEA104009791
HPSI0816i-fuuy_3	fuuy_3	SAMEA104236472
HPSI0714i-xiry_5	xiry_5	SAMEA3977540
HPSI0214i-bute_2	bute_2	SAMEA2682666
HPSI0215i-qenw_5	qenw_5	SAMEA104236710
HPSI0813i-vajx_2	vajx_2###WTSIi095-A	SAMEA2555015
HPSI0613i-ueah_4	ueah_4	SAMEA2398322
HPSI0513i-kesz_1	kesz_1	SAMEA2399236
HPSI0115i-gost_2	gost_2	SAMEA4454941
HPSI0713i-terl_1	terl_1###WTSIi070-A	SAMEA2397851
HPSI1013i-funy_1	funy_1###WTSIi167-A	SAMEA2398081
HPSI0614i-gawh_7	gawh_7	SAMEA4091775
HPSI0516i-feic_3	feic_3	SAMEA104236894
HPSI1116i-zies_4	zies_4	SAMEA104236994
HPSI1116i-geve_2	geve_2	SAMEA104236889
HPSI0413i-corn_1	corn_1###WTSIi053-A	SAMEA2677117
HPSI0513i-suzg_3	suzg_3###WTSIi058-A	SAMEA2399150
HPSI0813i-civh_1	civh_1###WTSIi099-A	SAMEA2397802
HPSI0413i-uahf_3	uahf_3	SAMEA2397812
HPSI0613i-qony_2	qony_2	SAMEA2398680
HPSI0513i-dulv_1	dulv_1###WTSIi134-A	SAMEA2398925
HPSI0715i-aowh_2	aowh_2	SAMEA3973284
HPSI0114i-wegi_1	wegi_1###WTSIi144-A	SAMEA2547631
HPSI0514i-pulk_1	pulk_1###WTSIi205-A	SAMEA3282740
HPSI0414i-fuai_1	fuai_1###WTSIi198-A	SAMEA2796155
HPSI0614i-kecw_1	kecw_1	SAMEA3976878
HPSI0614i-uuma_3	uuma_3	SAMEA3754400
HPSI0616i-tavt_11	tavt_11	SAMEA104243051
HPSI0816i-gezn_14	gezn_14	SAMEA104243058
HPSI0416i-zige_5	zige_5	SAMEA4453863
HPSI0316i-muwv_3	muwv_3	SAMEA4448534
HPSI0216i-puxp_1	puxp_1	SAMEA4448207
HPSI0216i-aiid_1	aiid_1	SAMEA4447140
HPSI0216i-aiid_6	aiid_6	SAMEA4447143
HPSI0115i-xaka_2	xaka_2	SAMEA4340444
HPSI0416i-fiwt_3	fiwt_3	SAMEA4453687
HPSI0516i-iool_6	iool_6	SAMEA7867168
HPSI0516i-eosr_1	eosr_1	SAMEA17599168
HPSI0616i-kulz_3	kulz_3	SAMEA17509168
HPSI0514i-oupf_6	oupf_6	SAMEA4451098
HPSI1113i-vuud_2	vuud_2	SAMEA4342379
HPSI0616i-xuvy_3	xuvy_3	SAMEA17595418
HPSI0514i-xayd_4	xayd_4	SAMEA4564805
HPSI0115i-iinu_3	iinu_3	SAMEA3976982
HPSI0614i-lipl_2	lipl_2	SAMEA3974877
HPSI0114i-posc_2	posc_2	SAMEA2547630
HPSI0813i-ffdr_1	ffdr_1	SAMEA2398415
HPSI0713i-ruyl_2	ruyl_2	SAMEA2398518
HPSI0813i-ffdj_3	ffdj_3	SAMEA2398078
HPSI0813i-ffdc_6	ffdc_6	SAMEA2398850
HPSI0214i-rayr_2	rayr_2	SAMEA2649526
HPSI0413i-xekf_9	xekf_9	SAMEA2398152
HPSI0413i-xekf_11	xekf_11	SAMEA2398523
HPSI0713i-javm_3	javm_3	SAMEA2397992
HPSI0713i-ruyl_7	ruyl_7	SAMEA2629763
HPSI0813i-ffdc_33	ffdc_33	SAMEA2399205
HPSI0713i-ruyv_2	ruyv_2	SAMEA2398447
HPSI0513i-dipe_3	dipe_3	SAMEA2399110
HPSI0513i-sucd_1	sucd_1	SAMEA2398110
HPSI0513i-uilw_3	uilw_3	SAMEA2398740
HPSI0813i-ffdc_1	ffdc_1	SAMEA2398883
HPSI0613i-oesx_2	oesx_2	SAMEA4451489
HPSI0516i-eitu_3	eitu_3	SAMEA4856668
HPSI0516i-zukb_2	zukb_2	SAMEA4561629
HPSI0516i-jepf_5	jepf_5	SAMEA4563408
HPSI0913i-ffds_1	ffds_1	SAMEA2398971
HPSI0413i-xekf_4	xekf_4	SAMEA2399239
HPSI0213i-nawk_5	nawk_5	SAMEA2397827
HPSI0913i-lofv_3	lofv_3	SAMEA2399275
HPSI0913i-lofv_33	lofv_33	SAMEA2201449
HPSI0813i-aomg_3	aomg_3	SAMEA2398185
HPSI0913i-ffdp_3	ffdp_3	SAMEA2397794
HPSI0813i-eiqh_5	eiqh_5	SAMEA2398681
HPSI1013i-sebz_3	sebz_3	SAMEA2420636
HPSI0416i-sevr_3	sevr_3	SAMEA4562352
HPSI0215i-zett_3	zett_3	SAMEA3853127
HPSI0416i-iooi_3	iooi_3	SAMEA4562342
HPSI0115i-qaqp_1	qaqp_1	SAMEA3976882
HPSI0713i-faej_1	faej_1	SAMEA2593200
HPSI0813i-voas_1	voas_1	SAMEA2402584
HPSI1113i-hayt_2	hayt_2	SAMEA2445791
HPSI0613i-liun_3	liun_3	SAMEA2397859
HPSI0314i-hoik_3	hoik_3	SAMEA2698313
HPSI0913i-diku_2	diku_2	SAMEA2593857
HPSI0114i-iisa_2	iisa_2	SAMEA2536409
HPSI0314i-sojd_1	sojd_1	SAMEA2627573
HPSI0614i-eavo_2	eavo_2	SAMEA3271660
HPSI0413i-xisg_33	xisg_33	SAMEA2397817
HPSI0613i-aevs_3	aevs_3	SAMEA2398432
HPSI0513i-dovq_2	dovq_2	SAMEA2398827
HPSI0115i-roka_1	roka_1	SAMEA104011277
HPSI0616i-euia_7	euia_7	SAMEA104011431
